China,23841
United States of America,9265
India,5100
Japan,3118
Brazil,1364
Korea (Rep. of),1338
Canada,1169
South Africa,1112
Spain,1063
Albania,1008
Turkey,974
France,709
United Kingdom,593
Mexico,570
Australia,567
Italy,541
Iran,520
Germany,371
Norway,335
Zimbabwe,254
Romania,244
Thailand,218
Portugal,217
Sweden,190
Bulgaria,181
Austria,175
Pakistan,164
Greece,162
Switzerland,162
Morocco,150
Algeria,144
Indonesia,135
Tunisia,126
Afghanistan,126
Czech Republic,118
Argentina,114
Mali,112
Chile,97
New Zealand,96
Sri Lanka,88
Viet Nam,80
Venezuela,78
Poland,69
Russia (Russian Fed.),69
Colombia,64
Peru,63
Serbia,63
Malaysia,58
Cyprus,57
Finland,56
Nigeria,52
Slovakia,50
Slovenia,39
Armenia,38
Ukraine,38
Bolivia,33
Myanmar,33
Ivory Coast,32
Iraq,30
Iceland,29
Croatia,29
Former Yugoslav Rep. of Macedonia,27
Kenya,26
Bosnia and Herzegovina,25
Panama,23
Philippines,21
Burkina Faso,19
Angola,19
Ethiopia,19
Congo (Dem. Rep. of),18
Dominican Republic,18
Georgia,17
Lebanon,17
Ireland,16
Belgium,15
Cameroon,14
Libya,14
Costa Rica,13
Netherlands,12
Denmark,11
Madagascar,10
Lesotho,10
Honduras,10
Tajikistan,9
Ghana,8
Guatemala,8
Niger,8
Uruguay,8
Bhutan,8
Egypt,7
Sudan,7
Nepal,6
Zambia,6
Paraguay,4
Luxembourg,3
Latvia,3
Japan,1
